cohort	ic	genes	cytoband	in_selected_genes_list2
METABRIC	ic1	EIF4A3	17q25.3d	TRUE
METABRIC	ic1	CHMP6	17q25.3f	TRUE
METABRIC	ic1	AZI1	17q25.3f	TRUE
METABRIC	ic1	NPLOC4	17q25.3f	TRUE
METABRIC	ic1	C17orf90	17q25.3f	TRUE
METABRIC	ic1	HGS	17q25.3f	TRUE
METABRIC	ic1	MRPL12	17q25.3f	TRUE
METABRIC	ic1	ANAPC11	17q25.3g	TRUE
METABRIC	ic1	STRA13	17q25.3g	FALSE
METABRIC	ic1	GPS1	17q25.3g	TRUE
METABRIC	ic1	WDR45L	17q25.3h	TRUE
METABRIC	ic1	TBCD	17q25.3h	TRUE
METABRIC	NA	C18orf55	18q22.3c	TRUE
METABRIC	NA	CCNE1	19q12c	TRUE
METABRIC	NA	C19orf2	19q12c	TRUE
METABRIC	NA	ZNF787	19q13.42c	TRUE
METABRIC	NA	C20orf111	20q13.12a	TRUE
METABRIC	NA	DNTTIP1	20q13.12b	TRUE
METABRIC	NA	ARFGEF2	20q13.13c	TRUE
METABRIC	NA	CSE1L	20q13.13c	TRUE
METABRIC	NA	STAU1	20q13.13c	TRUE
METABRIC	NA	DPM1	20q13.13f	TRUE
METABRIC	NA	C20orf43	20q13.31a	FALSE
METABRIC	NA	STX16	20q13.32a	TRUE
METABRIC	NA	TH1L	20q13.32b	TRUE
METABRIC	NA	ADRM1	20q13.33c	TRUE
METABRIC	NA	C20orf20	20q13.33d	TRUE
METABRIC	NA	YTHDF1	20q13.33d	TRUE
METABRIC	NA	DRG1	22q12.2c	TRUE
METABRIC	NA	DQ896642	22q13.1e	TRUE
METABRIC	NA	ZBED4	22q13.33a	TRUE
TCGA	NA	ETAA1	2p14	TRUE
TCGA	NA	C1D	2p14	TRUE
TCGA	NA	CTNNA2	2p12	TRUE
TCGA	NA	ERBB2	17q12	TRUE
TCGA	NA	PPP1R1B	17q12	TRUE
TCGA	ic2	MAP4K2	11q13.1	TRUE
TCGA	ic2	CDCA5	11q13.1	TRUE
TCGA	ic2	MEN1	11q13.1	TRUE
TCGA	ic9	LY6H	8q24.3	TRUE
TCGA	ic9	LY6L	8q24.3	TRUE
TCGA	ic9	ZFP41	8q24.3	TRUE
TCGA	ic9	GL14	8q24.3	FALSE
TCGA	NA	ADGRA3	4p15.2	TRUE
TCGA	NA	MTX3	5q14.1	TRUE
TCGA	NA	MIR573	4p15.2	FALSE
TCGA	NA	PCSK1	5q15	TRUE
TCGA	ic6	NSD3	8p11.23	TRUE
TCGA	ic6	LETM2	8p11.23	TRUE
TCGA	ic6	FGFR1	8p11.23	TRUE
TCGA	ic1	CA4	17q23.1	TRUE
TCGA	ic1	SCARNA20	17q23.2	FALSE
TCGA	ic1	HEATR6	17q23.1	TRUE
TCGA	ic1	RPS6KB1	17q23.1	TRUE
TCGA	ic1	PPM1D	17q23.2	TRUE
TCGA	ic2	FADD	11q13.3	TRUE
TCGA	ic2	PPFIA1	11q13.3	TRUE
TCGA	ic2	CTTN	11q13.3	TRUE
TCGA	ic2	FGF4	11q13.3	TRUE
TCGA	ic2	FGF19	11q13.3	TRUE
TCGA	ic2	CCND1	11q13.3	TRUE
