cohort	ic	genes	cytoband	in_selected_genes_list2
METABRIC	NA	C8orf38	8q22.1c	TRUE
METABRIC	NA	UQCRB	8q22.1d	TRUE
METABRIC	NA	MTERFD1	8q22.1d	FALSE
METABRIC	NA	PTDSS1	8q22.1d	TRUE
METABRIC	NA	MTDH	8q22.1e	TRUE
METABRIC	NA	RPL30	8q22.2a	TRUE
METABRIC	NA	HRSP12	8q22.2a	FALSE
METABRIC	NA	STK3	8q22.2a	TRUE
METABRIC	NA	ANKRD46	8q22.3a	TRUE
METABRIC	NA	YWHAZ	8q22.3a	TRUE
METABRIC	NA	ZNF706	8q22.3a	TRUE
METABRIC	NA	UBR5	8q22.3b	TRUE
METABRIC	NA	AZIN1	8q22.3c	TRUE
METABRIC	NA	ATP6V1C1	8q22.3c	TRUE
METABRIC	ic9	TTC35	8q23.1d	TRUE
METABRIC	ic9	EBAG9	8q23.2a	TRUE
METABRIC	ic9	UTP23	8q24.11a	TRUE
METABRIC	ic9	DQ894708	8q24.11b	TRUE
METABRIC	ic9	MAL2	8q24.12b	TRUE
METABRIC	ic9	TAF2	8q24.12b-q24.12c	TRUE
METABRIC	ic9	DSCC1	8q24.12c	TRUE
METABRIC	ic9	MRPL13	8q24.12c	TRUE
METABRIC	ic9	MTBP	8q24.12c	TRUE
METABRIC	ic9	DERL1	8q24.13b	TRUE
METABRIC	ic9	WDR67	8q24.13b	TRUE
METABRIC	ic9	C8orf76	8q24.13b	TRUE
METABRIC	ic9	ATAD2	8q24.13b-q24.13c	TRUE
METABRIC	ic9	WDYHV1	8q24.13c	TRUE
METABRIC	ic9	FAM91A1	8q24.13c	TRUE
METABRIC	ic9	SQLE	8q24.13d	TRUE
METABRIC	ic9	KIAA0196	8q24.13d	FALSE
METABRIC	ic9	NSMCE2	8q24.13d-q24.13e	TRUE
METABRIC	ic9	FAM84B	8q24.21a	TRUE
METABRIC	ic9	EFR3A	8q24.22b	TRUE
METABRIC	ic9	PHF20L1	8q24.22b	TRUE
METABRIC	ic9	ST3GAL1	8q24.22c	TRUE
METABRIC	ic9	TRAPPC9	8q24.3b	TRUE
METABRIC	ic9	EIF2C2	8q24.3c	TRUE
METABRIC	ic9	PTK2	8q24.3c	TRUE
METABRIC	ic9	C8orf55	8q24.3e	TRUE
METABRIC	ic9	GLI4	8q24.3f	TRUE
METABRIC	ic9	TOP1MT	8q24.3f	TRUE
METABRIC	ic9	ZC3H3	8q24.3f	TRUE
METABRIC	ic9	EEF1D	8q24.3g	TRUE
METABRIC	ic9	PYCRL	8q24.3g	FALSE
METABRIC	ic9	ZNF707	8q24.3g	TRUE
METABRIC	ic9	FAM83H	8q24.3g	TRUE
METABRIC	ic9	SCRIB	8q24.3g	TRUE
METABRIC	ic9	PUF60	8q24.3g	TRUE
METABRIC	ic9	GRINA	8q24.3g	TRUE
METABRIC	ic9	EXOSC4	8q24.3g	TRUE
METABRIC	ic9	GPAA1	8q24.3g	TRUE
METABRIC	ic9	CYC1	8q24.3g	TRUE
METABRIC	ic9	SHARPIN	8q24.3g	TRUE
METABRIC	ic9	MAF1	8q24.3g	TRUE
METABRIC	NA	BOP1	NA	TRUE
METABRIC	ic9	HSF1	8q24.3g-q24.3h	TRUE
METABRIC	ic9	DGAT1	8q24.3h	TRUE
METABRIC	ic9	FBXL6	8q24.3h	TRUE
METABRIC	ic9	GPR172A	8q24.3h	TRUE
METABRIC	ic9	ADCK5	8q24.3h	TRUE
METABRIC	ic9	CPSF1	8q24.3h	TRUE
METABRIC	ic9	VPS28	8q24.3h	TRUE
METABRIC	ic9	CYHR1	8q24.3h	TRUE
METABRIC	ic9	PPP1R16A	8q24.3h	TRUE
METABRIC	ic9	MFSD3	8q24.3h	TRUE
METABRIC	ic9	RECQL4	8q24.3h	TRUE
METABRIC	ic9	LRRC14	8q24.3h	TRUE
METABRIC	ic9	C8orf82	8q24.3h	TRUE
